name,type,class,power,max_pp,acc_1,acc_2,critical_hit_chance,damage_flags,other_flags,targets
String Shot,Bug,Status,2,16,78,75,5,(#1) (#4),#226,Line of sight
Struggle,Typeless,Physical,30,1,100,100,12,(#4) (#5),#5,Foe in front
Stun Spore,Grass,Status,2,17,78,100,12,(#1) (#4),#50,Adjacent foes
Submission,Fighting,Physical,15,17,84,125,12,(#4) (#5) (#6),#92,Foe in front
Substitute,Normal,Status,2,7,125,100,12,(#2) (#4),#190,Foe in front
Sunny Day,Fire,Status,2,12,125,125,12,(#4),#217,Floor
Super Fang,Normal,Physical,2,17,90,100,12,(#3) (#4) (#5) (#6),#160,Foe in front
Superpower,Fighting,Physical,24,11,90,125,12,(#4) (#5) (#6),#62,Foe in front
Supersonic,Normal,Status,2,10,55,100,12,(#1) (#3) (#4),#57,"Foe in front, cuts corners"
Surf,Water,Special,18,11,88,125,12,(#4) (#5) (#6),#17,Foe in front
Swagger,Normal,Status,2,18,90,100,12,(#1) (#4),#94,Foe in front
Swallow,Normal,Status,2,15,125,125,12,(#2) (#3) (#4),#207,User
Sweet Kiss,Normal,Status,2,15,84,100,12,(#1) (#3) (#4),#57,Foe in front
Sweet Scent,Normal,Status,2,22,100,100,12,(#1) (#4),#179,Foes in room
Swift,Normal,Physical,10,8,125,125,12,(#4) (#5) (#6),#0,"Foe in front, cuts corners"
Switcher,Typeless,Status,2,17,100,100,0,(#4),#164,Line of sight
Swords Dance,Normal,Status,2,17,125,125,12,(#2) (#4),#74,User
Synthesis,Grass,Status,2,12,125,125,12,(#2) (#4),#113,User
Tackle,Normal,Physical,7,22,95,100,12,(#4) (#5) (#6),#0,Foe in front
Tail Glow,Bug,Status,2,22,100,125,12,(#2) (#4),#68,User
Tail Whip,Normal,Status,2,22,100,100,12,(#1) (#4),#139,Foe in front
Take Down,Normal,Physical,8,19,88,125,12,(#4) (#5) (#6),#92,Foe in front
Takeaway,Typeless,Status,2,12,100,100,0,(#4) (#5),#119,Foe in front
Taunt,Dark,Status,2,20,100,100,12,(#4),#193,Foe in front
Teeter Dance,Normal,Status,2,15,100,100,12,(#4),#57,All on floor
Teleport,Psychic,Status,2,15,125,125,12,(#4),#168,User
Thief,Dark,Special,2,20,100,100,12,(#4) (#5) (#6),#120,Foe in front
Thrash,Normal,Physical,17,12,78,125,12,(#4) (#5) (#6),#0,Foe at side
Thunder Wave,Electric,Status,2,17,100,50,12,(#1) (#4),#59,Foe in front
Thunderbolt,Electric,Special,18,10,84,125,12,(#4) (#5) (#6),#54,Adjacent foes
Thunderpunch,Electric,Special,6,17,88,125,12,(#4) (#5) (#6),#51,Foe in front
Thundershock,Electric,Special,1,17,88,125,2,(#4) (#5) (#6),#34,Foe in front
Thunder,Electric,Special,24,9,73,125,12,(#4) (#5) (#6),#51,Foe in front
Tickle,Normal,Status,2,17,100,100,12,(#1) (#4),#194,Foe in front
Torment,Dark,Status,2,16,100,100,12,(#3) (#4),#159,Foe in front
Totter,Typeless,Status,2,12,100,100,0,(#4),#57,Foes in room
Toxic,Poison,Status,2,12,90,100,12,(#1) (#4),#157,Foe in front
Transfer,Typeless,Status,2,22,100,100,0,(#4),#233,"Foe in front, cuts corners"
Transform,Normal,Status,2,1,125,125,12,(#4),#228,User
Trap Buster,Typeless,Status,2,57,100,125,0,(#4),#182,Floor
Trapper,Typeless,Status,2,17,100,125,0,(#4),#125,Special
Trawl,Typeless,Status,2,22,100,125,0,(#4),#262,User
Tri Attack,Normal,Physical,6,17,100,100,12,(#5) (#6),#42,"Foe in front, cuts corners"
Trick,Psychic,Status,2,17,100,100,12,(#4),#118,Foe in front
Triple Kick,Fighting,Physical,8,15,70,125,2,(#4) (#5) (#6),#95,Foe in front
Twineedle,Bug,Physical,6,15,80,125,2,(#4) (#5) (#6),#96,Line of sight
Twister,Dragon,Special,8,15,90,125,12,(#4) (#5) (#6),#25,Foe in front
Two-Edge,Typeless,Physical,2,22,100,45,0,(#4),#162,Foes in room
Uproar,Normal,Status,10,17,100,125,12,(#3) (#4),#102,Allies in room
Vacuum-Cut,Typeless,Physical,10,7,100,100,0,(#4),#136,Foes in room
ViceGrip,Normal,Physical,6,22,90,125,12,(#4) (#5) (#6),#0,Foe in front
Vine Whip,Grass,Special,8,15,88,125,12,(#4) (#5) (#6),#0,Foe in front
Vital Throw,Fighting,Physical,14,17,100,125,12,(#4),#174,User
Volt Tackle,Electric,Special,24,12,84,125,12,(#4) (#5) (#6),#92,Foe in front
Warp,Typeless,Status,2,14,100,100,0,(#4),#168,Foes in room
Water Gun,Water,Special,5,17,88,125,12,(#4) (#5) (#6),#0,"Foe in front, cuts corners"
Water Pulse,Water,Special,12,12,88,125,12,(#4) (#5) (#6),#41,Line of sight
Water Sport,Water,Special,2,19,100,125,12,(#4),#137,Floor
Water Spout,Water,Status,30,8,84,125,12,(#4) (#5) (#6),#201,Foe in front
Waterfall,Water,Special,16,12,88,125,12,(#4) (#5) (#6),#0,Foe in front
Weather Ball,Normal,Physical,10,15,90,125,12,(#4) (#5) (#6),#216,Line of sight
Whirlpool,Water,Special,2,17,78,125,12,(#4) (#5) (#6),#16,Foe in front
Whirlwind,Normal,Status,2,27,100,100,12,(#4),#66,Foe in front
Wide Slash,Typeless,Physical,20,10,88,125,12,(#4) (#5) (#6),#0,3 tiles in front
Wild Call,Typeless,Status,2,22,100,125,0,(#4),#238,Allies on floor
Will-O-Wisp,Fire,Status,2,17,78,100,12,(#1) (#4),#140,"Foe in front, cuts corners"
Wing Attack,Flying,Physical,6,22,95,125,12,(#4) (#5) (#6),#0,Foe in front
Wish,Normal,Status,2,15,100,125,12,(#4),#152,User
Withdraw,Water,Status,2,32,125,125,12,(#2) (#4),#172,User
Wrap,Normal,Physical,4,22,88,100,12,(#4),#101,Foe in front
Yawn,Normal,Status,4,17,125,125,12,(#1) (#3) (#4),#53,Foe in front
Zap Cannon,Electric,Special,20,9,73,125,12,(#4) (#5) (#6),#61,Line of sight
