,,,,,Body Part Color Overrides,,,,,,,,,,,,,,,,Contributor
265,240,MonsterNameMagby,Magby,0,,,,,,,,,,,,2,3,4,,,FairyForestKing
266,241,MonsterNameMiltank,Miltank,6,,,11,12,15,,,6,,6,,,,,,,FairyForestKing
267,242,MonsterNameBlissey,Blissey,10,,,3,4,15,,,,,,,,,,,,FairyForestKing
268,243,MonsterNameRaikou,Raikou,0,,,5,6,7,,2,6,3,4,5,,,,6,,FairyForestKing
269,244,MonsterNameEntei,Entei,5,,,5,6,7,13,14,15,3,4,4,,,,,,FairyForestKing
270,245,MonsterNameSuicune,Suicune,9,,,5,6,7,8,,,2,3,4,,3,6,7,,FairyForestKing
271,246,MonsterNameLarvitar,Larvitar,10,,,,,,,,,,,,8,9,10,15,,FairyForestKing
272,247,MonsterNamePupitar,Pupitar,7,,,,,,,,,,,,,,,,,FairyForestKing
273,248,MonsterNameTyranitar,Tyranitar,4,,,8,9,10,8,9,10,,,,,,,,,FairyForestKing
274,249,MonsterNameLugia,Lugia,11,,,11,12,1,11,12,,,,,,,,9,,FairyForestKing
275,250,MonsterNameHoOh,Ho-oh,6,,,6,7,,8,9,10,12,13,14,8,9,10,10,,FairyForestKing
276,251,MonsterNameCelebi,Celebi,10,,,,,,8,9,10,,,,,2,3,4,,FairyForestKing
277,252,MonsterNameTreecko,Treecko,12,,,8,8,10,,,,,8,9,5,6,7,15,,FairyForestKing
278,253,MonsterNameGrovyle,Grovyle,3,,,,,,,,,9,10,,9,10,,,,FairyForestKing
279,254,MonsterNameSceptile,Sceptile,5,,,,,,,,,5,6,7,8,9,10,,,FairyForestKing
280,255,MonsterNameTorchic,Torchic,4,,,12,,,12,13,14,,,,,5,6,7,,FairyForestKing
281,256,MonsterNameCombusken,Combusken,6,,,,,,,3,4,5,6,,5,8,9,10,,FairyForestKing
282,257,MonsterNameBlaziken,Blaziken,6,,,,5,6,12,13,14,3,7,15,8,9,5,,,FairyForestKing
283,258,MonsterNameMudkip,Mudkip,7,,,,,8,9,10,,8,6,7,5,,6,10,,FairyForestKing
284,259,MonsterNameMarshtomp,Marshtomp,11,,,3,4,,2,4,,12,13,14,8,9,10,15,,FairyForestKing
285,260,MonsterNameSwampert,Swampert,7,,,5,6,,6,7,8,9,10,,12,13,14,,,FairyForestKing
286,261,MonsterNamePoochyena,Poochyena,9,,,,,7,,,,5,6,,,,,15,,FairyForestKing
287,262,MonsterNameMightyena,Mightyena,4,,,,,,,2,6,2,3,4,8,9,,,,FairyForestKing
288,263,MonsterNameZigzagoon,Zigzagoon,9,,,10,12,13,11,9,,,,,,,,,,FairyForestKing
289,264,MonsterNameLinoone,Linoone,6,,,,,3,,2,,5,6,,7,4,15,,,FairyForestKing
290,265,MonsterNameWurmple,Wurmple,7,,,5,6,7,8,9,10,,,,12,,,,,FairyForestKing
291,266,MonsterNameSilcoon,Silcoon,4,,,,,,8,10,,,,,5,2,3,4,,FairyForestKing
292,267,MonsterNameBeautifly,Beautifly,7,,,4,6,7,11,11,,3,4,,8,9,10,,,FairyForestKing
293,268,MonsterNameCascoon,Cascoon,8,,,11,12,13,,,,,,,5,6,7,,,FairyForestKing
294,269,MonsterNameDustox,Dustox,2,,,11,,,,,,5,6,7,2,3,6,7,,FairyForestKing
295,270,MonsterNameLotad,Lotad,12,,,,,,11,12,,,10,9,5,6,6,7,,FairyForestKing
296,271,MonsterNameLombre,Lombre,9,,,8,9,10,,,,,,,2,5,6,7,,FairyForestKing
297,272,MonsterNameLudicolo,Ludicolo,9,,,11,8,,2,3,4,11,12,13,2,5,6,7,,FairyForestKing
298,273,MonsterNameSeedot,Seedot,6,,,,,,8,9,,,,,,,,,,FairyForestKing
299,274,MonsterNameNuzleaf,Nuzleaf,5,,,11,12,13,,,,5,6,7,3,4,,,,FairyForestKing
300,275,MonsterNameShiftry,Shiftry,8,,,5,6,7,,,,,,,,,,,,FairyForestKing
301,276,MonsterNameTaillow,Taillow,12,,,,,,3,8,9,5,6,7,,,,,,FairyForestKing
302,277,MonsterNameSwellow,Swellow,12,,,,,,3,8,9,5,6,7,3,4,,7,,FairyForestKing
303,278,MonsterNameWingull,Wingull,10,,,13,14,15,,,,,,,5,5,6,7,,FairyForestKing
304,279,MonsterNamePelipper,Pelipper,10,,,13,14,15,,,,,,,5,5,6,7,,FairyForestKing
305,280,MonsterNameRalts,Ralts,5,,,,,,12,13,,,,,,,,,,FairyForestKing
306,281,MonsterNameKirlia,Kirlia,5,,,,,,11,12,13,,,,,,,,,FairyForestKing
307,282,MonsterNameGardevoir,Gardevoir,5,,,,,,11,12,13,,,,,,,,,FairyForestKing
308,283,MonsterNameSurskit,Surskit,6,,,,,,6,,,11,12,13,,,,10,,FairyForestKing
309,284,MonsterNameMasquerain,Masquerain,3,,,8,9,10,9,11,12,,,,,,,,13,FairyForestKing
310,285,MonsterNameShroomish,Shroomish,11,,,,,,,,,2,3,4,,,,,,FairyForestKing
311,286,MonsterNameBreloom,Breloom,8,,,,,,8,9,10,,,,5,6,6,7,,FairyForestKing
312,287,MonsterNameSlakoth,Slakoth,2,,,,,,,,,11,12,13,8,9,10,,,FairyForestKing
313,288,MonsterNameVigoroth,Vigoroth,6,,,,,,,,,,,,6,2,3,4,,FairyForestKing
314,289,MonsterNameSlaking,Slaking,6,,,14,13,14,,,,9,10,,,,,,,FairyForestKing
315,290,MonsterNameNincada,Nincada,10,,,,,,13,13,14,,,,,,,,,FairyForestKing
316,291,MonsterNameNinjask,Ninjask,5,,,,,,,,,,,,2,3,4,,,FairyForestKing
317,292,MonsterNameShedinja,Shedinja,4,,,,,,,5,11,,,,,,6,,,FairyForestKing
318,293,MonsterNameWhismur,Whismur,10,,,,,,8,9,10,2,3,4,,,,,,FairyForestKing
319,294,MonsterNameLoudred,Loudred,7,,,11,11,11,8,9,10,5,6,7,,,,,,FairyForestKing
320,295,MonsterNameExploud,Exploud,2,,,11,12,13,2,3,4,5,6,7,,,,,,FairyForestKing
321,296,MonsterNameMakuhita,Makuhita,5,,,,,,2,3,4,5,6,7,5,6,7,,,FairyForestKing
322,297,MonsterNameHariyama,Hariyama,2,,,8,9,,,,,2,3,4,5,6,7,,,FairyForestKing
323,298,MonsterNameAzurill,Azurill,8,,,,,,,,,12,13,14,,,14,15,,FairyForestKing
324,299,MonsterNameNosepass,Nosepass,0,,,,,,,,,5,6,7,,,,,,FairyForestKing
325,300,MonsterNameSkitty,Skitty,5,,,,,,8,9,10,,,,5,6,7,,,FairyForestKing
326,301,MonsterNameDelcatty,Delcatty,5,,,,,,2,3,4,5,6,7,,,,,,FairyForestKing
327,302,MonsterNameSableye,Sableye,8,,,8,9,10,,,,,,,,,,,,FairyForestKing
328,303,MonsterNameMawile,Mawile,7,,,5,6,7,11,11,,,,,8,9,,,,FairyForestKing
329,304,MonsterNameAron,Aron,12,,,,,,,,,,11,12,5,6,7,15,,FairyForestKing
330,305,MonsterNameLairon,Lairon,12,,,,,,,,,11,12,,5,6,,,,FairyForestKing
331,306,MonsterNameAggron,Aggron,12,,,,,,,,,,,11,5,6,7,6,,FairyForestKing
332,307,MonsterNameMeditite,Meditite,5,,,,,,,,,5,6,7,,,,,,FairyForestKing
333,308,MonsterNameMedicham,Medicham,5,,,,,,8,9,10,,,,2,3,4,4,,FairyForestKing
334,309,MonsterNameElectrike,Electrike,5,,,5,,,,,,2,3,4,8,9,10,15,,FairyForestKing
335,310,MonsterNameManectric,Manectric,5,,,,,,2,3,4,11,12,13,8,,,,,FairyForestKing
336,311,MonsterNamePlusle,Plusle,4,,,,,,,,,,,,8,9,10,,,FairyForestKing
337,312,MonsterNameMinun,Minun,12,,,8,8,10,,,,5,6,7,,,,,,FairyForestKing
338,313,MonsterNameVolbeat,Volbeat,7,,,5,6,7,2,,5,2,3,4,8,9,10,,,FairyForestKing
339,314,MonsterNameIllumise,Illumise,5,,,8,9,10,,,,2,3,4,,,,,,FairyForestKing
340,315,MonsterNameRoselia,Roselia,10,,,11,12,7,,,,13,13,14,8,9,10,15,,FairyForestKing
341,316,MonsterNameGulpin,Gulpin,0,,,,,,,,,,,,,,11,12,,FairyForestKing
342,317,MonsterNameSwalot,Swalot,2,,,8,9,10,,,13,,,,,,,,,FairyForestKing
343,318,MonsterNameCarvanha,Carvanha,3,,,,,,8,9,10,11,12,13,5,6,7,,,FairyForestKing
344,319,MonsterNameSharpedo,Sharpedo,2,,,,,,,,,2,3,4,,,,,,FairyForestKing
345,320,MonsterNameWailmer,Wailmer,7,,,1,,,8,9,10,5,,,5,6,7,15,,FairyForestKing
346,321,MonsterNameWailord,Wailord,7,,,,,,,,,,,,12,,,,,FairyForestKing
347,322,MonsterNameNumel,Numel,9,,,8,11,,,,,11,12,13,2,5,6,7,,FairyForestKing
348,323,MonsterNameCamerupt,Camerupt,5,,,,,,11,12,13,3,4,,,,,,,FairyForestKing
349,324,MonsterNameTorkoal,Torkoal,4,,,,,,,,,,,,,,,,,FairyForestKing
350,325,MonsterNameSpoink,Spoink,6,,,11,12,13,2,3,4,,,,,,,,,FairyForestKing
351,326,MonsterNameGrumpig,Grumpig,10,,,,,,,,,,,,13,14,,,,FairyForestKing
352,327,MonsterNameSpinda,Spinda,8,,,8,9,10,,,,,12,13,,,,,,FairyForestKing
353,328,MonsterNameTrapinch,Trapinch,12,,,6,5,15,,,,,,,5,5,6,7,,FairyForestKing
354,329,MonsterNameVibrava,Vibrava,6,,,,,,11,12,13,9,10,,,,3,4,,FairyForestKing
355,330,MonsterNameFlygon,Flygon,3,,,8,9,,,,,,,,5,6,,,,FairyForestKing
356,331,MonsterNameCacnea,Cacnea,6,,,,,,,,,2,3,4,5,6,2,7,,FairyForestKing
357,332,MonsterNameCacturne,Cacturne,4,,,,,,,,,,,,,,,,,FairyForestKing
358,333,MonsterNameSwablu,Swablu,6,,,,,,,,,2,3,4,,,,,,FairyForestKing
359,334,MonsterNameAltaria,Altaria,6,,,,,,,,,2,3,4,,,,,,FairyForestKing
360,335,MonsterNameZangoose,Zangoose,5,,,,,10,8,9,10,,,,,,,,,FairyForestKing
361,336,MonsterNameSeviper,Seviper,11,,,,8,9,2,3,4,5,6,,5,6,7,,,FourBolt
362,337,MonsterNameLunatone,Lunatone,0,,,,,,,,,,,,8,9,10,10,,FairyForestKing
363,338,MonsterNameSolrock,Solrock,0,,,,,,,,,,,,,,,13,,FairyForestKing
364,339,MonsterNameBarboach,Barboach,5,,,,,,,,,2,3,4,,,,,,FairyForestKing
365,340,MonsterNameWhiscash,Whiscash,6,,,11,12,13,12,13,14,,,,,,,,,FairyForestKing
366,341,MonsterNameCorphish,Corphish,11,,,,,,,,,,,,12,13,14,,,FairyForestKing
367,342,MonsterNameCrawdaunt,Crawdaunt,4,,,,,,12,13,14,,,,8,2,3,4,,FairyForestKing
368,343,MonsterNameBaltoy,Baltoy,12,,,3,8,10,2,,,,,,5,6,,,,FairyForestKing
369,344,MonsterNameClaydol,Claydol,5,,,,,,2,3,4,,,,,,,,,FairyForestKing
370,345,MonsterNameLileep,Lileep,12,,,11,12,,,,,,,,5,6,8,9,,FairyForestKing
371,346,MonsterNameCradily,Cradily,11,,,,13,14,15,,,11,12,13,,,3,4,,FairyForestKing
372,347,MonsterNameAnorith,Anorith,8,,,,,,,,,,,,2,8,9,10,,FairyForestKing
373,348,MonsterNameArmaldo,Armaldo,5,,,,,,7,,,5,6,7,,,,,,FairyForestKing
374,349,MonsterNameFeebas,Feebas,7,,,,,10,8,9,10,2,3,4,11,11,11,8,,FairyForestKing
375,350,MonsterNameMilotic,Milotic,0,,,,,,,,,5,6,7,8,8,9,10,,FairyForestKing
376,351,MonsterNameCastform,Castform,7,,,,,,,,,,,,8,8,9,10,7,FairyForestKing
377,351,MonsterNameCastform,Castform,9,,,,,,,,,2,3,13,,5,6,7,,FairyForestKing
378,351,MonsterNameCastform,Castform,0,,,5,6,7,,,13,1,,,,,,,,FairyForestKing
379,351,MonsterNameCastform,Castform,3,,,11,12,13,,,,,,,,5,6,7,14,FairyForestKing
380,352,MonsterNameKecleon,Kecleon,3,,,5,6,,,,,,,,,,,,,FairyForestKing
381,353,MonsterNameShuppet,Shuppet,12,,,5,6,,,5,14,,,,,,9,,,FairyForestKing
382,354,MonsterNameBanette,Banette,12,,,,,8,11,11,12,,,,5,6,,,,FairyForestKing
383,355,MonsterNameDuskull,Duskull,5,,,,,,,,,,,,5,6,,,,FairyForestKing
384,356,MonsterNameDusclops,Dusclops,5,,,,,,,,,,,,5,6,7,15,,FairyForestKing
385,357,MonsterNameTropius,Tropius,8,,,8,8,10,,,,9,10,,,,,,,FairyForestKing
386,358,MonsterNameChimecho,Chimecho,3,,,8,9,10,2,3,4,,12,13,,,,,14,FairyForestKing
387,359,MonsterNameAbsol,Absol,11,,,,,,,,,,,,,,,,,FairyForestKing
388,360,MonsterNameWynaut,Wynaut,11,,,,,,11,12,14,11,12,13,1,9,10,15,,FairyForestKing
389,361,MonsterNameSnorunt,Snorunt,5,,,8,9,10,2,3,4,,5,6,,,,,,FairyForestKing
390,362,MonsterNameGlalie,Glalie,5,,,,,,,,,5,6,7,,,,,,FairyForestKing
391,363,MonsterNameSpheal,Spheal,7,,,5,6,7,,,,,,,,,,,,FairyForestKing
392,364,MonsterNameSealeo,Sealeo,7,,,5,6,7,,,,,,,2,,,,,FairyForestKing
393,365,MonsterNameWalrein,Walrein,7,,,5,6,7,11,,,,,,12,,,,,FairyForestKing
394,366,MonsterNameClamperl,Clamperl,7,,,5,6,7,8,9,4,,,,6,5,,4,,FairyForestKing
395,367,MonsterNameHuntail,Huntail,3,,,3,4,,11,12,13,,,,,2,,,,FairyForestKing
396,368,MonsterNameGorebyss,Gorebyss,2,,,5,6,7,,,,,,,3,4,,,,FairyForestKing
397,369,MonsterNameRelicanth,Relicanth,12,,,4,8,,2,4,,12,11,4,5,6,7,,,FairyForestKing
398,370,MonsterNameLuvdisc,Luvdisc,4,,,6,7,4,,,,,,,,,,,,FairyForestKing
399,371,MonsterNameBagon,Bagon,10,,,,13,14,,,,,,,5,5,6,7,,FairyForestKing
400,372,MonsterNameShelgon,Shelgon,3,,,,9,10,2,3,4,,,,,,,,,FairyForestKing
401,373,MonsterNameSalamence,Salamence,10,,,,,,2,3,4,,,,5,6,7,15,,FairyForestKing
402,374,MonsterNameBeldum,Beldum,11,,,,,,8,9,10,3,4,,,,,,,FairyForestKing
403,375,MonsterNameMetang,Metang,11,,,,,,8,9,10,2,3,4,,,,,,FairyForestKing
404,376,MonsterNameMetagross,Metagross,11,,,,,,8,9,10,2,3,4,,,,,4,FairyForestKing
405,377,MonsterNameRegirock,Regirock,8,,,,7,,,,,,,5,8,2,3,4,9,FairyForestKing
406,378,MonsterNameRegice,Regice,0,,,8,,,8,9,10,,,,,6,7,,,FairyForestKing
407,379,MonsterNameRegisteel,Registeel,12,,,,,,,,11,,,,5,6,5,6,7,FairyForestKing
408,380,MonsterNameLatias,Latias,5,,,,9,10,2,3,4,,,,,,,,,FairyForestKing
409,381,MonsterNameLatios,Latios,10,,,,,,13,,,,,,6,5,6,7,,FairyForestKing
410,382,MonsterNameKyogre,Kyogre,7,,,,,7,11,11,,,,,,,,,,Mystaldi
411,383,MonsterNameGroudon,Groudon,5,,,,,,2,3,4,,,,,,,,,FairyForestKing
412,384,MonsterNameRayquaza,Rayquaza,5,,,5,6,7,,,,2,3,4,,,,,,FairyForestKing
413,385,MonsterNameJirachi,Jirachi,5,,,,,,,,,6,5,7,,,7,4,,Mystaldi
414,386,MonsterNameDeoxys,Deoxys,3,,,11,13,5,12,13,14,,10,,9,,,6,,Mystaldi
415,,MonsterNameUnown,,9,,,,,,,,,,,,2,3,4,7,,FairyForestKing
416,,MonsterNameUnown,,9,,,,,,,,,,,,2,3,4,7,,FairyForestKing
417,,MonsterNameDeoxys,,3,,,5,11,11,13,12,14,,10,,9,,,6,,Mystaldi
418,,MonsterNameDeoxys,,3,,,5,11,12,13,14,15,,10,,9,,,6,,Mystaldi
419,,MonsterNameDeoxys,,3,,,5,11,12,13,14,15,,10,,9,,,6,,Mystaldi
420,,MonsterNameMunchlax,,0,,,,,13,8,9,10,6,7,,,,,,,FairyForestKing
421,,MonsterNameWeavile,Weavile,4,,,,,,,,,,,,5,6,7,,,FairyForestKing
422,,MonsterNameDecoy,,11,,,,,,,,,,,,,,,,,FairyForestKing
423,,MonsterNameStatue,,,,,,,,,,,,,,,,,,,
424,,MonsterNameRayquaza,,5,,,5,6,7,,,,2,3,4,,,,,,FairyForestKing
