id,name,bst_scale,bst_raw,dungeon_number,addon,cost_normal,cost_hard,cost_nightmare,dungeon10_addon,cost_normal_d10,cost_hard_d10,cost_nightmare_d10
372,Anorith,"0,3826",88,1,75,458,840,1223,750,1133,1515,1898
373,Armaldo,"0,4783",110,1,75,553,1032,1510,750,1228,1707,2185
374,Feebas,"0,2261",52,1,75,301,527,753,750,976,1202,1428
375,Milotic,"0,6522",150,1,75,727,1379,2032,750,1402,2054,2707
376,Castform,"0,2913",67,1,75,366,658,949,750,1041,1333,1624
377,Castform,"0,2913",67,1,75,366,658,949,750,1041,1333,1624
378,Castform,"0,2913",67,1,75,366,658,949,750,1041,1333,1624
379,Castform,"0,2913",67,1,75,366,658,949,750,1041,1333,1624
380,Kecleon,"0,4783",110,1,75,553,1032,1510,750,1228,1707,2185
381,Shuppet,"0,4609",106,1,75,536,997,1458,750,1211,1672,2133
382,Banette,"0,4783",110,1,75,553,1032,1510,750,1228,1707,2185
383,Duskull,"0,4565",105,1,75,532,988,1445,750,1207,1663,2120
384,Dusclops,"0,513",118,1,75,588,1101,1614,750,1263,1776,2289
385,Tropius,"0,5522",127,1,75,627,1179,1732,750,1302,1854,2407
386,Chimecho,"0,4261",98,1,75,501,927,1353,750,1176,1602,2028
387,Absol,"0,587",135,1,75,662,1249,1836,750,1337,1924,2511
388,Wynaut,"0,1174",27,1,75,192,310,427,750,867,985,1102
389,Snorunt,"0,287",66,1,75,362,649,936,750,1037,1324,1611
390,Glalie,"0,4217",97,1,75,497,918,1340,750,1172,1593,2015
391,Spheal,"0,4174",96,1,75,492,910,1327,750,1167,1585,2002
392,Sealeo,"0,4565",105,1,75,532,988,1445,750,1207,1663,2120
393,Walrein,"0,4957",114,1,75,571,1066,1562,750,1246,1741,2237
394,Clamperl,"0,3609",83,1,75,436,797,1158,750,1111,1472,1833
395,Huntail,"0,4043",93,1,75,479,884,1288,750,1154,1559,1963
396,Gorebyss,"0,4174",96,1,75,492,910,1327,750,1167,1585,2002
397,Relicanth,"0,287",66,1,75,362,649,936,750,1037,1324,1611
398,Luvdisc,"0,3217",74,1,75,397,718,1040,750,1072,1393,1715
399,Bagon,"0,4435",102,1,75,518,962,1405,750,1193,1637,2080
400,Shelgon,"0,5",115,1,75,575,1075,1575,750,1250,1750,2250
401,Salamence,"0,5478",126,1,75,623,1171,1718,750,1298,1846,2393
402,Beldum,"0,2913",67,1,75,366,658,949,750,1041,1333,1624
403,Metang,"0,4174",96,1,75,492,910,1327,750,1167,1585,2002
404,Metagross,"0,4565",105,1,75,532,988,1445,750,1207,1663,2120
405,Regirock,"0,4565",105,1,75,532,988,1445,750,1207,1663,2120
406,Regice,"0,4565",105,1,75,532,988,1445,750,1207,1663,2120
407,Registeel,"0,4565",105,1,75,532,988,1445,750,1207,1663,2120
408,Latias,"0,5217",120,1,75,597,1118,1640,750,1272,1793,2315
409,Latios,"0,5217",120,1,75,597,1118,1640,750,1272,1793,2315
410,Kyogre,"0,6304",145,1,75,705,1336,1966,750,1380,2011,2641
411,Groudon,"0,6435",148,1,75,718,1362,2005,750,1393,2037,2680
412,Rayquaza,"0,6696",154,1,75,745,1414,2084,750,1420,2089,2759
413,Jirachi,"0,5435",125,1,75,618,1162,1705,750,1293,1837,2380
414,Deoxys,"0,7435",171,1,75,818,1562,2305,750,1493,2237,2980
415,Unown,"0,2696",62,1,75,345,614,884,750,1020,1289,1559
416,Unown,"0,2696",62,1,75,345,614,884,750,1020,1289,1559
417,Deoxys,"0,7435",171,1,75,818,1562,2305,750,1493,2237,2980
418,Deoxys,"0,7435",171,1,75,818,1562,2305,750,1493,2237,2980
419,Deoxys,"0,7435",171,1,75,818,1562,2305,750,1493,2237,2980
420,Munchlax,"0,0478",11,1,75,123,171,218,750,798,846,893
421,Weavile,"0,4217",97,1,75,497,918,1340,750,1172,1593,2015
422,Riolu,"0,1174",27,1,75,192,310,427,750,867,985,1102
423,Lucario,"0,4348",100,1,75,510,945,1379,750,1185,1620,2054
424,Bonsly,"0,2609",60,1,75,336,597,858,750,1011,1272,1533
425,MimeJr,"0,087",20,1,75,162,249,336,750,837,924,1011
426,Joltik,"0,1",23,1,75,175,275,375,750,850,950,1050
427,Galvantula,"0,3",69,1,75,375,675,975,750,1050,1350,1650
428,Decoy,"0,0609",14,1,75,136,197,258,750,811,872,933
429,Statue,"0,01",549,1,75,85,95,105,750,760,770,780
430,Rayquaza,"0,6696",154,1,75,745,1414,2084,750,1420,2089,2759
